品牌,产品SKU数,估算产值,总热度值,价值份额_占比,价值平方,全局HHI,市场类型
联想,6,9.92928E8,76500.0,35.19,1238.34,2307.12,中度竞争
华硕,12,7.07536384E8,78432.0,25.08,629.01,2307.12,中度竞争
苹果,1,4.9998E8,20000.0,17.72,314.0,2307.12,中度竞争
惠普,2,2.666798E8,20200.0,9.45,89.3,2307.12,中度竞争
荣耀,1,1.3088E8,20000.0,4.64,21.53,2307.12,中度竞争
雷神,1,7.2495E7,5000.0,2.57,6.6,2307.12,中度竞争
华为,2,5.80678E7,2200.0,2.06,4.24,2307.12,中度竞争
戴尔,4,4.43679E7,2100.0,1.57,2.46,2307.12,中度竞争
微星,6,3.2561443E7,1557.0,1.15,1.32,2307.12,中度竞争
机械师,1,1.5998E7,2000.0,0.57,0.32,2307.12,中度竞争